NAME,Income
ZCTA5 77328,53054
ZCTA5 77338,56638
ZCTA5 77339,75080
ZCTA5 77354,89489
ZCTA5 77355,88042
ZCTA5 77356,92378
ZCTA5 77357,62321
ZCTA5 77358,56250
ZCTA5 77362,74681
ZCTA5 77365,79320
ZCTA5 77372,62245
ZCTA5 77378,55508
ZCTA5 77380,73457
ZCTA5 77381,117661
ZCTA5 77382,138281
ZCTA5 77384,87311
ZCTA5 77385,95126
ZCTA5 77386,114665
ZCTA5 77447,76343
ZCTA5 77873,44857
ZCTA5 77355,88042
ZCTA5 77363,43316
ZCTA5 77423,61178
ZCTA5 77445,44190
ZCTA5 77446,24118
ZCTA5 77447,76343
ZCTA5 77466,61193
ZCTA5 77474,69956
ZCTA5 77484,64846
ZCTA5 77493,90861
ZCTA5 77494,135943
ZCTA5 77868,54352
